filename,width,height,class,xmin,ymin,xmax,ymax
armas (1118).jpg,866,1390,gun,81,438,283,658
armas (1136).jpg,620,475,gun,385,138,546,216
armas (1143).jpg,812,541,gun,461,137,546,176
armas (1159).jpg,485,340,gun,292,80,480,192
armas (118).jpg,1300,866,gun,118,239,458,503
armas (1184).jpg,705,705,gun,555,298,675,366
armas (12).jpg,315,450,gun,26,168,84,239
armas (121).jpg,660,440,gun,446,162,559,210
armas (1218).jpg,500,375,gun,93,83,405,222
armas (1231).jpg,500,400,gun,273,121,376,209
armas (1249).jpg,500,375,gun,62,47,463,215
armas (1260).jpg,500,375,gun,188,126,242,196
armas (132).jpg,1300,866,gun,81,265,505,537
armas (1349).jpg,500,332,gun,43,42,137,263
armas (1366).jpg,333,500,gun,79,168,124,278
armas (1368).jpg,500,334,gun,339,72,442,128
armas (1369).jpg,334,500,gun,248,123,311,149
armas (137).jpg,168,133,gun,76,51,98,79
armas (1374).jpg,500,403,gun,97,154,337,395
armas (138).jpg,156,235,gun,53,127,91,192
armas (1382).jpg,500,299,gun,38,47,458,173
armas (1385).jpg,500,375,gun,161,120,417,220
armas (1386).jpg,500,333,gun,85,77,420,190
armas (1395).jpg,500,375,gun,408,73,491,129
armas (1427).jpg,500,337,gun,173,49,456,284
armas (1450).jpg,500,375,gun,80,82,431,203
armas (1451).jpg,500,375,gun,93,71,403,224
armas (1467).jpg,335,500,gun,153,193,208,323
armas (147).jpg,158,235,gun,31,128,92,208
armas (1470).jpg,500,285,gun,14,18,396,179
armas (149).jpg,866,1300,gun,342,683,601,1039
armas (15).jpg,1300,866,gun,182,137,1077,513
armas (1525).jpg,500,333,gun,106,84,424,196
armas (1536).jpg,500,333,gun,341,131,451,177
armas (1566).jpg,500,351,gun,238,135,303,243
armas (1582).jpg,500,333,gun,13,123,373,237
armas (1599).jpg,267,500,gun,17,59,184,214
armas (1606).jpg,450,306,gun,64,36,311,200
armas (161).jpg,300,450,gun,144,147,275,233
armas (163).jpg,864,1300,gun,158,337,271,539
armas (1631).jpg,500,281,gun,20,55,322,242
armas (1641).jpg,500,400,gun,17,109,206,327
armas (1651).jpg,500,375,gun,5,59,392,235
armas (1655).jpg,500,500,gun,212,152,263,326
armas (1657).jpg,400,300,gun,44,14,345,165
armas (1679).jpg,491,500,gun,143,9,490,442
armas (1692).jpg,500,375,gun,127,152,285,227
armas (1699).jpg,333,500,gun,147,335,187,452
armas (17).jpg,1300,870,gun,858,354,1124,520
armas (1706).jpg,500,332,gun,40,162,133,206
armas (1724).jpg,358,500,gun,28,59,74,156
armas (1738).jpg,500,375,gun,53,63,423,213
armas (1760).jpg,242,375,gun,40,163,90,272
armas (1772).jpg,331,281,gun,26,23,295,274
armas (1774).jpg,463,323,gun,18,18,433,172
armas (1789).jpg,610,394,gun,83,91,386,233
armas (1810).jpg,346,540,gun,169,347,246,520
armas (1825).jpg,283,296,gun,219,116,269,155
armas (1864).jpg,1169,794,gun,22,80,1132,452
armas (1869).jpg,426,282,gun,40,101,150,189
armas (187).jpg,1300,861,gun,974,290,1175,406
armas (1870).jpg,600,400,gun,85,37,532,369
armas (1872).jpg,800,533,gun,542,184,707,245
armas (1874).jpg,500,412,gun,44,42,304,203
armas (1875).jpg,800,532,gun,347,212,596,319
armas (1885).jpg,500,334,gun,191,38,404,215
armas (1887).jpg,390,285,gun,72,47,136,154
armas (1888).jpg,800,430,gun,372,203,425,304
armas (1895).jpg,1300,960,gun,204,272,710,645
armas (1901).jpg,900,600,gun,663,172,854,241
armas (1949).jpg,1500,1100,gun,664,112,818,178
armas (1965).jpg,256,197,gun,74,62,102,110
armas (198).jpg,550,413,gun,21,189,89,271
armas (1993).jpg,625,424,gun,253,176,317,302
armas (20).jpg,1300,877,gun,784,344,1067,499
armas (201).jpg,1300,942,gun,194,150,1000,512
armas (2010).jpg,212,285,gun,45,116,107,262
armas (2016).jpg,1280,1920,gun,268,658,593,1466
armas (202).jpg,1006,1390,gun,432,185,579,599
armas (2033).jpg,300,315,gun,81,5,165,235
armas (205).jpg,728,546,gun,135,110,286,494
armas (2052).jpg,443,341,gun,11,5,439,182
armas (206).jpg,728,546,gun,77,63,431,428
armas (2068).jpg,1024,650,gun,358,130,634,274
armas (2069).jpg,640,480,gun,132,46,607,241
armas (207).jpg,728,546,gun,9,12,584,262
armas (2070).jpg,704,800,gun,331,300,432,552
armas (2076).jpg,500,337,gun,54,21,402,177
armas (2079).jpg,3000,2290,gun,1017,288,2621,1137
armas (208).jpg,728,546,gun,8,66,710,319
armas (2085).jpg,600,420,gun,122,166,185,266
armas (2086).jpg,600,420,gun,81,131,139,234
armas (209).jpg,728,546,gun,356,286,664,501
armas (210).jpg,728,546,gun,455,208,728,486
armas (2105).jpg,1300,956,gun,262,303,496,501
armas (2118).jpg,357,220,gun,48,54,100,79
armas (2119).jpg,650,400,gun,2,2,607,261
armas (2136).jpg,468,377,gun,248,211,298,273
armas (214).jpg,728,546,gun,107,100,527,305
armas (2149).jpg,731,1024,gun,65,109,195,170
armas (215).jpg,728,546,gun,268,138,318,271
armas (2155).jpg,284,160,gun,80,27,104,94
armas (2156).jpg,354,200,gun,57,32,274,83
armas (2161).jpg,3456,2304,gun,2373,1050,2846,1250
armas (219).jpg,1300,956,gun,1,293,466,677
armas (220).jpg,750,331,gun,269,70,727,236
armas (2201).jpg,160,120,gun,1,1,129,81
armas (2205).jpg,160,120,gun,1,1,157,79
armas (2211).jpg,160,120,gun,1,1,127,46
armas (2220).jpg,160,120,gun,1,1,158,63
armas (224).jpg,5616,3744,gun,1852,1519,2830,1963
armas (2249).jpg,160,120,gun,3,1,153,61
armas (225).jpg,615,409,gun,223,28,373,286
armas (2257).jpg,160,120,gun,8,1,158,65
armas (2259).jpg,160,120,gun,3,1,160,65
armas (2265).jpg,160,120,gun,8,6,151,75
armas (2296).jpg,160,120,gun,2,1,153,67
armas (230).jpg,1067,854,gun,622,239,698,292
armas (231).jpg,425,260,gun,177,221,217,254
armas (2311).jpg,160,120,gun,2,2,158,80
armas (232).jpg,434,578,gun,290,195,328,220
armas (234).jpg,3000,1853,gun,1449,342,3000,997
armas (235).jpg,200,150,gun,15,33,143,95
armas (237).jpg,2560,1600,gun,239,256,2137,1068
armas (238).jpg,1300,957,gun,194,122,1073,455
armas (239).jpg,550,412,gun,88,114,464,296
armas (240).jpg,1132,1696,gun,497,415,566,580
armas (241).jpg,620,457,gun,281,148,320,173
armas (242).jpg,840,571,gun,164,265,359,403
armas (243).jpg,700,525,gun,167,194,414,303
armas (244).jpg,346,540,gun,134,131,160,192
armas (245).jpg,320,240,gun,79,14,243,132
armas (246).jpg,1608,1258,gun,118,178,707,1171
armas (2466).jpg,160,120,gun,33,31,140,66
armas (247).jpg,500,334,gun,161,226,276,288
armas (249).jpg,432,324,gun,199,125,254,158
armas (251).jpg,634,458,gun,373,171,495,214
armas (2511).jpg,160,120,gun,1,1,158,70
armas (252).jpg,634,477,gun,245,176,496,272
armas (2521).jpg,160,120,gun,2,1,130,80
armas (2523).jpg,160,120,gun,2,2,160,68
armas (254).jpg,634,360,gun,60,7,563,209
armas (255).jpg,634,850,gun,17,12,286,470
armas (2558).jpg,160,120,gun,1,2,157,70
armas (256).jpg,634,395,gun,328,96,389,131
armas (2563).jpg,160,120,gun,4,2,158,67
armas (2565).jpg,160,120,gun,11,27,116,78
armas (257).jpg,634,504,gun,41,44,415,276
armas (258).jpg,468,446,gun,54,41,114,117
armas (2582).jpg,160,120,gun,3,1,149,67
armas (259).jpg,634,705,gun,344,293,536,356
armas (260).jpg,634,286,gun,108,148,168,166
armas (261).jpg,625,360,gun,258,150,343,179
armas (262).jpg,634,403,gun,265,57,536,208
armas (2629).jpg,160,120,gun,1,4,136,90
armas (263).jpg,306,423,gun,34,159,91,264
armas (2666).jpg,160,120,gun,2,1,160,68
armas (2668).jpg,160,120,gun,1,1,159,68
armas (267).jpg,640,345,gun,148,8,621,327
armas (268).jpg,640,360,gun,239,179,249,211
armas (269).jpg,640,487,gun,220,223,423,350
armas (270).jpg,1200,900,gun,176,470,962,670
armas (271).jpg,1280,720,gun,135,338,1195,586
armas (272).jpg,2048,1160,gun,543,571,864,903
armas (2727).jpg,160,120,gun,1,2,132,78
armas (2732).jpg,160,120,gun,2,2,157,69
armas (2745).jpg,160,120,gun,1,2,155,64
armas (275).jpg,346,540,gun,56,2,267,167
armas (276).jpg,508,657,gun,114,261,170,366
armas (2761).jpg,160,120,gun,2,2,156,70
armas (2766).jpg,160,120,gun,2,2,153,66
armas (277).jpg,1300,953,gun,206,66,741,456
armas (2771).jpg,160,120,gun,2,3,154,66
armas (278).jpg,468,312,gun,51,4,233,312
armas (2786).jpg,495,464,gun,145,157,177,241
armas (2798).jpg,700,572,gun,479,132,579,321
armas (280).jpg,347,540,gun,175,172,199,294
armas (281).jpg,640,425,gun,103,158,219,420
armas (2810).jpg,728,546,gun,221,203,312,245
armas (2811).jpg,728,546,gun,216,41,425,278
armas (2814).jpg,320,241,gun,12,18,305,137
armas (2818).jpg,284,178,gun,6,6,236,122
armas (282).jpg,2000,1333,gun,381,227,1845,1029
armas (2827).jpg,800,556,gun,24,19,649,258
armas (283).jpg,2000,1333,gun,323,178,1832,829
armas (2836).jpg,1200,600,gun,588,26,793,523
armas (284).jpg,1200,973,gun,1,5,560,768
armas (285).jpg,400,263,gun,9,116,347,199
armas (286).jpg,700,416,gun,161,20,496,396
armas (2863).jpg,450,300,gun,109,61,365,205
armas (2866).jpg,400,600,gun,27,174,136,367
armas (2869).jpg,634,435,gun,230,138,319,218
armas (287).jpg,450,472,gun,125,111,410,246
armas (2878).jpg,1300,870,gun,204,272,708,645
armas (288).jpg,450,299,gun,138,47,342,139
armas (2881).jpg,1300,1033,gun,883,64,990,338
armas (2882).jpg,1300,1300,gun,395,209,505,422
armas (2884).jpg,866,1300,gun,256,156,515,720
armas (2887).jpg,866,1300,gun,441,359,499,498
armas (289).jpg,300,200,gun,171,52,222,130
armas (2897).jpg,640,420,gun,444,81,603,249
armas (2899).jpg,1300,863,gun,166,130,606,600
armas (290).jpg,900,601,gun,637,186,776,297
armas (2901).jpg,863,1300,gun,8,326,160,663
armas (2903).jpg,168,112,gun,35,35,57,57
armas (2904).jpg,1024,538,gun,461,84,939,343
armas (2905).jpg,1300,1076,gun,499,427,1043,618
armas (2906).jpg,640,360,gun,350,166,370,203
armas (2908).jpg,156,235,gun,43,70,85,162
armas (2909).jpg,1300,866,gun,480,338,655,460
armas (291).jpg,1200,300,gun,389,66,594,150
armas (2910).jpg,168,112,gun,6,44,52,61
armas (2911).jpg,112,168,gun,43,11,82,87
armas (2912).jpg,632,420,gun,197,181,354,296
armas (2913).jpg,1300,865,gun,447,99,800,297
armas (2914).jpg,450,300,gun,151,6,360,155
armas (2915).jpg,112,168,gun,61,61,112,88
armas (2916).jpg,865,1300,gun,392,624,461,876
armas (2918).jpg,876,1300,gun,120,574,302,645
armas (2919).jpg,168,118,gun,42,36,73,49
armas (292).jpg,450,470,gun,87,19,416,257
armas (2920).jpg,168,127,gun,129,55,165,68
armas (2921).jpg,1300,866,gun,80,398,324,632
armas (2923).jpg,113,168,gun,46,29,98,57
armas (2924).jpg,531,333,gun,260,141,291,168
armas (2925).jpg,400,308,gun,3,6,396,204
armas (2926).jpg,119,168,gun,23,127,31,161
armas (2927).jpg,111,168,gun,24,30,45,78
armas (2928).jpg,1300,866,gun,835,168,960,269
armas (2929).jpg,749,1024,gun,11,195,688,531
armas (293).jpg,512,288,gun,28,14,383,212
armas (2930).jpg,168,113,gun,107,62,156,92
armas (2931).jpg,113,168,gun,41,106,56,160
armas (2933).jpg,1300,1031,gun,408,179,954,642
armas (2934).jpg,450,447,gun,202,322,260,413
armas (2935).jpg,343,450,gun,236,91,306,164
armas (2936).jpg,450,420,gun,343,54,373,131
armas (2939).jpg,1026,1300,gun,347,435,525,541
armas (294).jpg,346,540,gun,49,177,101,259
armas (2941).jpg,643,360,gun,62,39,547,183
armas (2943).jpg,3207,1493,gun,232,154,3126,839
armas (2944).jpg,1083,832,gun,32,34,1039,496
armas (2945).jpg,400,400,gun,3,96,399,257
armas (2946).jpg,640,380,gun,512,37,524,87
armas (2948).jpg,640,457,gun,56,35,378,163
armas (2949).jpg,660,283,gun,119,24,654,157
armas (295).jpg,136,90,gun,18,10,118,52
armas (2951).jpg,224,224,gun,8,72,140,122
armas (2953).jpg,225,225,gun,17,51,206,121
armas (2954).jpg,1000,744,gun,4,1,713,615
armas (2958).jpg,400,360,gun,85,149,262,250
armas (2959).jpg,535,411,gun,13,21,500,236
armas (296).jpg,628,392,gun,464,205,496,228
armas (2960).jpg,300,202,gun,7,20,240,135
armas (2962).jpg,1425,725,gun,850,206,1167,351
armas (2964).jpg,569,373,gun,6,299,105,364
armas (2965).jpg,500,199,gun,19,6,331,134
armas (2966).jpg,396,395,gun,55,225,283,358
armas (2968).jpg,246,205,gun,114,38,136,47
armas (2969).jpg,225,225,gun,5,56,143,109
armas (297).jpg,600,399,gun,333,54,482,99
armas (2970).jpg,434,569,gun,225,76,412,200
armas (2971).jpg,958,415,gun,117,9,949,268
armas (2973).jpg,1530,958,gun,1,1,1525,503
armas (2974).jpg,640,480,gun,291,331,349,423
armas (2975).jpg,1000,562,gun,366,284,773,452
armas (2976).jpg,725,725,gun,42,131,538,563
armas (2978).jpg,507,339,gun,14,20,478,196
armas (2979).jpg,2000,1300,gun,46,22,1938,752
armas (298).jpg,3072,1728,gun,221,936,641,1145
armas (2980).jpg,412,443,gun,24,13,326,384
armas (2981).jpg,732,424,gun,210,53,705,338
armas (2983).jpg,461,357,gun,72,33,449,219
armas (2984).jpg,1165,518,gun,254,20,1159,376
armas (2985).jpg,1024,576,gun,137,248,716,444
armas (2986).jpg,343,203,gun,19,26,329,112
armas (2988).jpg,815,756,gun,36,443,162,627
armas (2989).jpg,512,512,gun,45,6,476,390
armas (299).jpg,275,200,gun,170,67,200,134
armas (2993).jpg,1197,795,gun,211,112,278,348
armas (2993).jpg,1197,795,gun,209,344,221,414
armas (2993).jpg,1197,795,gun,927,247,1013,426
armas (2995).jpg,452,508,gun,161,38,200,147
armas (300).jpg,1446,988,gun,57,111,1203,635
armas (301).jpg,750,750,gun,70,141,676,410
armas (302).jpg,1500,1000,gun,968,421,1060,465
armas (303).jpg,440,660,gun,258,108,343,317
armas (315).jpg,270,194,gun,16,90,73,124
armas (322).jpg,270,194,gun,37,15,87,111
armas (34).jpg,1300,1064,gun,261,370,548,532
armas (341).jpg,450,370,gun,115,109,171,204
armas (35).jpg,1300,1097,gun,615,389,724,580
armas (354).jpg,661,496,gun,228,201,280,313
armas (365).jpg,640,427,gun,130,34,273,133
armas (37).jpg,301,450,gun,180,111,294,186
armas (373).jpg,620,350,gun,253,22,449,249
armas (376).jpg,630,703,gun,38,372,113,495
armas (397).jpg,682,1023,gun,413,497,604,597
armas (398).jpg,682,1023,gun,421,306,566,465
armas (399).jpg,682,1023,gun,171,361,284,465
armas (406).jpg,774,646,gun,163,202,353,474
armas (436).jpg,720,1024,gun,569,505,675,637
armas (437).jpg,705,1023,gun,65,287,159,342
armas (440).jpg,1023,682,gun,259,78,920,333
armas (49).jpg,1300,866,gun,668,178,1152,791
armas (68).jpg,168,113,gun,75,31,83,58
armas (70).jpg,168,113,gun,106,37,124,46
armas (77).jpg,1300,1300,gun,48,304,946,852
armas (783).jpg,300,200,gun,76,62,238,129
armas (784).jpg,300,163,gun,74,8,290,113
armas (785).jpg,300,180,gun,101,12,292,140
armas (786).jpg,300,158,gun,87,24,257,70
armas (787).jpg,300,203,gun,71,16,284,133
armas (788).jpg,300,166,gun,51,13,297,120
armas (789).jpg,300,164,gun,83,44,282,102
armas (79).jpg,113,168,gun,28,67,41,97
armas (790).jpg,300,202,gun,73,43,263,129
armas (791).jpg,300,192,gun,67,12,290,149
armas (792).jpg,300,243,gun,101,54,211,99
armas (793).jpg,300,263,gun,63,58,300,142
armas (794).jpg,300,197,gun,87,49,267,131
armas (795).jpg,300,151,gun,72,15,286,103
armas (796).jpg,300,180,gun,79,40,267,123
armas (797).jpg,300,184,gun,42,43,285,140
armas (798).jpg,300,187,gun,69,5,277,134
armas (799).jpg,300,172,gun,76,14,293,114
armas (80).jpg,113,168,gun,67,77,101,114
armas (800).jpg,300,191,gun,54,24,300,102
armas (801).jpg,300,145,gun,67,13,297,131
armas (802).jpg,300,300,gun,85,61,281,128
armas (803).jpg,300,183,gun,36,8,195,68
armas (804).jpg,300,199,gun,104,12,276,137
armas (805).jpg,300,225,gun,78,24,269,124
armas (806).jpg,300,169,gun,77,13,286,118
armas (807).jpg,300,166,gun,62,13,295,116
armas (808).jpg,300,225,gun,71,16,287,172
armas (809).jpg,300,300,gun,53,102,298,184
armas (81).jpg,113,168,gun,27,76,48,118
armas (810).jpg,300,300,gun,41,97,300,202
armas (811).jpg,300,203,gun,61,8,288,140
armas (813).jpg,300,153,gun,51,1,296,124
armas (814).jpg,300,152,gun,63,7,288,108
armas (815).jpg,300,206,gun,76,18,300,113
armas (816).jpg,300,159,gun,88,6,294,125
armas (817).jpg,300,223,gun,66,69,292,166
armas (818).jpg,300,259,gun,27,40,283,143
armas (819).jpg,300,173,gun,61,1,298,117
armas (82).jpg,866,1300,gun,168,450,353,695
armas (820).jpg,300,157,gun,64,11,296,101
armas (821).jpg,300,165,gun,73,24,290,121
armas (822).jpg,300,196,gun,63,26,286,143
armas (823).jpg,300,153,gun,42,2,299,109
armas (824).jpg,300,225,gun,60,36,290,155
armas (825).jpg,300,196,gun,82,58,214,141
armas (826).jpg,300,213,gun,92,22,278,140
armas (827).jpg,190,300,gun,31,91,188,179
armas (828).jpg,300,197,gun,77,3,269,127
armas (829).jpg,300,171,gun,53,3,293,111
armas (83).jpg,113,168,gun,33,76,61,126
armas (830).jpg,300,216,gun,62,8,300,161
armas (831).jpg,300,217,gun,51,33,284,179
armas (832).jpg,300,172,gun,59,2,297,130
armas (833).jpg,300,151,gun,78,16,291,105
armas (834).jpg,1024,768,gun,492,294,852,546
armas (835).jpg,1022,674,gun,57,220,982,473
armas (836).jpg,620,350,gun,12,64,567,348
armas (837).jpg,178,282,gun,33,14,158,207
armas (838).jpg,266,189,gun,63,39,203,137
armas (839).jpg,188,268,gun,95,120,141,209
armas (840).jpg,275,183,gun,104,19,225,118
armas (841).jpg,275,183,gun,103,48,208,99
armas (842).jpg,281,179,gun,95,23,254,87
armas (843).jpg,249,202,gun,20,31,134,102
armas (844).jpg,267,189,gun,16,22,200,101
armas (845).jpg,275,183,gun,35,29,171,99
armas (846).jpg,273,185,gun,69,12,256,88
armas (847).jpg,268,188,gun,35,61,185,117
armas (848).jpg,266,189,gun,111,39,136,83
armas (849).jpg,269,187,gun,143,50,240,90
armas (85).jpg,1300,867,gun,86,96,309,297
armas (850).jpg,262,192,gun,112,32,129,114
armas (851).jpg,262,192,gun,27,58,112,132
armas (852).jpg,300,168,gun,34,1,212,85
armas (853).jpg,275,184,gun,183,75,239,110
armas (854).jpg,313,161,gun,48,41,155,86
armas (855).jpg,213,237,gun,124,97,182,120
armas (856).jpg,297,170,gun,21,4,239,91
armas (857).jpg,259,194,gun,31,24,229,108
armas (858).jpg,259,194,gun,161,74,259,171
armas (859).jpg,280,180,gun,122,42,230,86
armas (86).jpg,450,300,gun,337,100,431,142
armas (860).jpg,266,189,gun,73,49,219,98
armas (861).jpg,259,194,gun,152,69,225,113
armas (862).jpg,183,275,gun,76,71,97,122
armas (863).jpg,183,275,gun,85,90,135,214
armas (864).jpg,259,195,gun,41,26,67,86
armas (865).jpg,336,120,gun,39,14,160,64
armas (866).jpg,286,176,gun,2,63,286,123
armas (867).jpg,183,275,gun,53,33,107,152
armas (868).jpg,225,225,gun,52,31,104,69
armas (869).jpg,248,203,gun,50,69,105,102
armas (87).jpg,1300,1108,gun,845,88,1004,485
armas (870).jpg,300,168,gun,17,61,146,123
armas (871).jpg,275,183,gun,81,59,215,110
armas (872).jpg,254,199,gun,107,56,132,124
armas (874).jpg,300,168,gun,169,112,200,158
armas (875).jpg,275,183,gun,52,2,122,158
armas (876).jpg,183,275,gun,82,69,91,86
armas (877).jpg,237,213,gun,22,76,62,120
armas (878).jpg,256,124,gun,16,56,191,85
armas (879).jpg,259,194,gun,83,87,229,154
armas (88).jpg,199,132,gun,74,31,97,90
armas (880).jpg,208,242,gun,57,57,146,165
armas (881).jpg,262,192,gun,115,20,142,32
armas (882).jpg,300,168,gun,117,42,152,71
armas (883).jpg,262,192,gun,134,54,215,129
armas (884).jpg,256,192,gun,63,7,238,105
armas (885).jpg,262,192,gun,116,16,156,84
armas (886).jpg,252,200,gun,169,12,192,64
armas (887).jpg,252,200,gun,23,33,137,106
armas (888).jpg,286,176,gun,55,4,175,138
armas (889).jpg,275,183,gun,102,71,138,109
armas (890).jpg,240,106,gun,54,14,189,80
armas (891).jpg,251,201,gun,149,51,176,64
armas (892).jpg,279,180,gun,39,41,179,106
armas (893).jpg,260,194,gun,89,77,102,87
armas (894).jpg,300,168,gun,168,53,177,59
armas (895).jpg,268,188,gun,78,66,108,116
armas (896).jpg,300,168,gun,1,1,170,91
armas (897).jpg,317,159,gun,14,28,266,116
armas (898).jpg,275,183,gun,114,15,167,145
armas (899).jpg,277,182,gun,141,74,171,102
armas (900).jpg,263,192,gun,82,57,122,79
armas (901).jpg,258,195,gun,137,101,162,130
armas (903).jpg,225,225,gun,95,33,135,142
armas (904).jpg,240,180,gun,104,40,133,55
armas (905).jpg,285,177,gun,147,42,175,62
armas (906).jpg,177,285,gun,38,90,85,159
armas (907).jpg,182,277,gun,1,1,130,182
armas (908).jpg,211,239,gun,59,88,75,127
armas (909).jpg,240,210,gun,88,74,147,117
armas (910).jpg,285,176,gun,39,44,80,65
armas (911).jpg,201,135,gun,13,17,162,104
armas (912).jpg,275,183,gun,55,15,236,100
armas (913).jpg,266,190,gun,103,29,264,102
armas (914).jpg,262,192,gun,79,34,100,51
armas (915).jpg,273,185,gun,110,76,137,131
armas (916).jpg,275,183,gun,127,38,214,109
armas (917).jpg,266,189,gun,88,41,143,72
armas (918).jpg,255,198,gun,94,47,168,181
armas (919).jpg,275,183,gun,35,62,100,105
armas (920).jpg,221,229,gun,70,146,79,167
armas (921).jpg,275,183,gun,1,1,160,98
armas (922).jpg,260,194,gun,71,81,119,105
armas (923).jpg,293,172,gun,104,10,281,85
armas (924).jpg,199,254,gun,114,81,146,107
armas (925).jpg,259,194,gun,99,4,206,163
armas (926).jpg,270,187,gun,82,51,245,109
armas (927).jpg,275,183,gun,89,123,152,156
armas (928).jpg,275,183,gun,162,53,246,110
armas (929).jpg,281,179,gun,120,20,177,52
armas (931).jpg,193,262,gun,38,131,75,181
armas (932).jpg,185,272,gun,111,47,135,70
armas (933).jpg,270,187,gun,174,98,231,128
armas (934).jpg,245,206,gun,33,71,164,115
armas (935).jpg,259,194,gun,2,3,211,91
armas (936).jpg,303,166,gun,1,26,120,86
armas (937).jpg,266,189,gun,32,51,182,108
armas (938).jpg,262,192,gun,57,21,200,78
armas (939).jpg,206,244,gun,8,1,194,86
armas (940).jpg,244,206,gun,117,72,134,107
armas (941).jpg,292,173,gun,2,4,254,82
armas (942).jpg,177,285,gun,53,125,102,175
armas (943).jpg,276,183,gun,35,25,130,126
armas (944).jpg,275,183,gun,41,54,121,100
armas (945).jpg,269,188,gun,24,12,139,133
